order_id,order_date,warehouse,carrier,dest_province,ship_mode,category,order_value,pickup_date,pickup_days,pickup_on_time,promised_delivery_date,actual_delivery_date,on_time,days_late,accuracy_status,shipping_cost
ORD-000001,2025-05-08,Toronto,NorthStar Logistics,ON,Express,Health & Personal Care,92.81,2025-05-10,2,True,2025-05-11,2025-05-11,True,0,accurate,19.34
ORD-000002,2025-11-13,Calgary,NorthStar Logistics,AB,Standard,Apparel,126.24,2025-11-14,1,True,2025-11-19,2025-11-18,True,0,accurate,9.39
ORD-000003,2025-08-03,Calgary,BudgetHaul,AB,Standard,Electronics,65.6,2025-08-07,4,False,2025-08-09,2025-08-07,True,0,accurate,7.88
ORD-000004,2025-05-12,Calgary,Maple Freight,SK,Standard,Apparel,29.8,2025-05-14,2,True,2025-05-18,2025-05-18,True,0,accurate,10.23
ORD-000005,2025-05-02,Calgary,Maple Freight,MB,Express,Grocery,77.09,2025-05-03,1,True,2025-05-05,2025-05-04,True,0,accurate,28.47
ORD-000006,2024-01-02,Montreal,NorthStar Logistics,NL,Priority,Apparel,80.3,2024-01-07,5,False,2024-01-04,2024-01-03,True,0,accurate,26.62
ORD-000007,2025-03-22,Toronto,NorthStar Logistics,ON,Express,Apparel,49.03,2025-03-23,1,True,2025-03-25,2025-03-23,True,0,accurate,19.04
ORD-000008,2025-11-20,Montreal,BudgetHaul,QC,Priority,Electronics,383.82,2025-11-26,6,False,2025-11-22,2025-11-21,True,0,accurate,17.26
ORD-000009,2024-02-13,Montreal,Maple Freight,NL,Standard,Apparel,122.46,2024-02-14,1,True,2024-02-19,2024-02-18,True,0,accurate,16.18
ORD-000010,2024-05-19,Calgary,CanParcel,SK,Standard,Grocery,21.16,2024-05-19,0,True,2024-05-25,2024-05-24,True,0,accurate,11.53
ORD-000011,2025-01-31,Calgary,Maple Freight,MB,Standard,Health & Personal Care,71.09,2025-02-02,2,True,2025-02-06,2025-02-04,True,0,accurate,11.97
ORD-000012,2024-06-18,Vancouver,CanParcel,BC,Standard,Health & Personal Care,54.71,2024-06-20,2,True,2024-06-24,2024-06-23,True,0,accurate,9.6
ORD-000013,2025-09-22,Montreal,CanParcel,NB,Standard,Electronics,233.88,2025-09-24,2,True,2025-09-28,2025-09-26,True,0,accurate,19.39
ORD-000014,2025-03-23,Montreal,CanParcel,QC,Express,Electronics,132.71,2025-03-25,2,True,2025-03-26,2025-03-31,False,5,accurate,22.81
ORD-000015,2025-09-02,Montreal,NorthStar Logistics,QC,Standard,Apparel,43.33,2025-09-04,2,True,2025-09-08,2025-09-06,True,0,accurate,9.52
ORD-000016,2025-09-04,Montreal,Prairie Express,PE,Standard,Electronics,351.57,2025-09-07,3,False,2025-09-10,2025-09-09,True,0,accurate,18.28
ORD-000017,2025-06-07,Montreal,CanParcel,QC,Standard,Apparel,66.2,2025-06-07,0,True,2025-06-13,2025-06-13,True,0,accurate,9.65
ORD-000018,2025-12-02,Toronto,NorthStar Logistics,NS,Standard,Electronics,155.98,2025-12-04,2,True,2025-12-08,2025-12-07,True,0,substitution,17.82
ORD-000019,2025-01-08,Toronto,CanParcel,QC,Express,Apparel,56.6,2025-01-09,1,True,2025-01-11,2025-01-09,True,0,accurate,23.82
ORD-000020,2025-11-12,Calgary,Prairie Express,AB,Standard,Apparel,78.1,2025-11-13,1,True,2025-11-18,2025-11-17,True,0,accurate,10.21
ORD-000021,2025-01-04,Toronto,Maple Freight,QC,Standard,Electronics,223.17,2025-01-05,1,True,2025-01-10,2025-01-09,True,0,accurate,11.98
ORD-000022,2025-07-28,Vancouver,NorthStar Logistics,BC,Standard,Apparel,58.42,2025-07-29,1,True,2025-08-03,2025-08-02,True,0,accurate,10.16
ORD-000023,2024-12-27,Montreal,NorthStar Logistics,NS,Standard,Apparel,17.15,2024-12-28,1,True,2025-01-02,2025-01-01,True,0,accurate,13.94
ORD-000024,2024-07-25,Vancouver,NorthStar Logistics,AB,Standard,Apparel,94.12,2024-07-26,1,True,2024-07-31,2024-07-29,True,0,accurate,10.57
ORD-000025,2025-03-28,Calgary,Prairie Express,MB,Standard,Apparel,25.56,2025-03-30,2,True,2025-04-03,2025-04-01,True,0,accurate,11.05
